name,id,album,artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genres,cluster_label
I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,Starboy,"['The Weeknd', 'Daft Punk']",0.428,0.773,0.819,0.0,0.0679,-5.946,0.118,92.987,0.585,"['filter house', 'canadian pop', 'electro', 'rock', 'pop', 'canadian contemporary r&b']",6
Heartless,6bnF93Rx87YqUBLSgjiMU8,After Hours,['The Weeknd'],0.0236,0.537,0.746,1e-06,0.156,-5.507,0.15,170.083,0.252,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Sparks,7D0RhFcb3CrfPuTJ0obrod,Parachutes,['Coldplay'],0.748,0.371,0.268,0.0517,0.104,-10.506,0.0281,102.617,0.165,"['permanent wave', 'pop']",6
Ink,6c6W25YoDGjTq3qSPOga5t,Ghost Stories,['Coldplay'],0.0647,0.688,0.705,0.124,0.118,-7.311,0.0323,112.019,0.696,"['permanent wave', 'pop']",6
Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,Black Panther The Album Music From And Inspired By,"['The Weeknd', 'Kendrick Lamar']",0.0756,0.735,0.677,2.17e-05,0.111,-4.979,0.0932,100.563,0.187,"['rap', 'west coast rap', 'canadian pop', 'conscious hip hop', 'pop', 'hip hop', 'canadian contemporary r&b']",6
Where Have You Been,1MOh2kEqV4QBcye2ciQAjp,Talk That Talk,['Rihanna'],0.00201,0.719,0.847,0.0204,0.223,-6.34,0.0916,127.963,0.444,"['barbadian pop', 'urban contemporary', 'pop']",6
Lust For Life (with The Weeknd),0mt02gJ425Xjm7c3jYkOBn,Lust For Life,"['Lana Del Rey', 'The Weeknd']",0.604,0.504,0.655,0.00193,0.364,-8.644,0.0542,99.982,0.262,"['canadian contemporary r&b', 'canadian pop', 'pop', 'art pop']",6
Rude Boy,180tYOjVoVnuDFZdTzgQRe,Rated R (International Explicit Nokia Exclusive Version),['Rihanna'],0.111,0.563,0.75,0.0,0.0788,-4.496,0.124,173.926,0.811,"['barbadian pop', 'urban contemporary', 'pop']",6
Magic,23khhseCLQqVMCIT1WMAns,Ghost Stories,['Coldplay'],0.0266,0.738,0.482,0.621,0.106,-8.917,0.0402,93.457,0.352,"['permanent wave', 'pop']",6
Earned It (Fifty Shades Of Grey),4frLb7nWtsz2ymBE6k2GRP,Beauty Behind The Madness,['The Weeknd'],0.405,0.657,0.291,0.0,0.0771,-8.275,0.0348,119.782,0.405,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Ordinary Life,15k2nBQJ0teDmPZHrOXL2N,Starboy,['The Weeknd'],0.0275,0.537,0.587,0.0,0.0961,-7.486,0.0771,149.748,0.365,"['pop', 'canadian contemporary r&b', 'canadian pop']",6
Always in My Head,0FMjqbY3aWo1QDbo3GwXib,Ghost Stories,['Coldplay'],0.0127,0.495,0.502,0.689,0.068,-9.307,0.0259,97.546,0.0394,"['permanent wave', 'pop']",6
You Were Loved (with OneRepublic),4W1JavoraGzh83nluQHY6C,You Were Loved (with OneRepublic),"['Gryffin', 'OneRepublic']",0.0947,0.636,0.69,0.0,0.169,-5.011,0.0484,123.994,0.444,"['edm', 'piano rock', 'pop dance', 'pop']",7
YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,ASTROWORLD,['Travis Scott'],0.283,0.785,0.554,3.4e-06,0.116,-6.571,0.0409,128.047,0.144,"['rap', 'slap house']",7
Like That,2tudvzsrR56uom6smgOcSf,WE DON'T TRUST YOU,"['Future', 'Metro Boomin', 'Kendrick Lamar']",0.00709,0.814,0.676,1.28e-05,0.119,-4.67,0.231,162.012,0.312,"['rap', 'west coast rap', 'southern hip hop', 'conscious hip hop', 'atl hip hop', 'hip hop', 'trap']",7
I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,UTOPIA,['Travis Scott'],0.0186,0.927,0.619,0.0,0.104,-4.441,0.0539,117.995,0.817,"['rap', 'slap house']",7
Without Me,6FZDfxM3a3UCqtzo5pxSLZ,Manic,['Halsey'],0.293,0.752,0.488,9.2e-06,0.0936,-7.05,0.0705,136.07,0.533,"['electropop', 'etherpop', 'indie poptimism', 'pop']",7
Ransom,1lOe9qE0vR9zwWQAOk6CoO,We Love You Tecca,['Lil Tecca'],0.0204,0.745,0.642,0.0,0.0658,-6.257,0.287,179.974,0.226,"['rap', 'melodic rap', 'pluggnb']",7
Angel Numbers / Ten Toes,3XqM8hLCEYlbnFjoWwqtFv,11:11,['Chris Brown'],0.192,0.406,0.5,0.0,0.175,-8.452,0.0501,157.984,0.0905,"['rap', 'r&b']",7
Closer,7BKLCZ1jbUBVqRi2FVlTVw,Closer,"['The Chainsmokers', 'Halsey']",0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,0.661,"['electropop', 'etherpop', 'indie poptimism', 'pop']",7
beibs in the trap,0ESJlaM8CE1jRWaNtwSNj8,Birds In The Trap Sing McKnight,['Travis Scott'],0.24,0.743,0.571,0.0,0.291,-6.054,0.145,119.054,0.495,"['rap', 'slap house']",7
Cinderella,0hKtu53OlIFXVuYkZwcn3o,WE DON'T TRUST YOU,"['Future', 'Metro Boomin', 'Travis Scott']",0.431,0.876,0.412,0.0,0.101,-7.74,0.0748,130.052,0.15,"['rap', 'southern hip hop', 'atl hip hop', 'hip hop', 'trap', 'slap house']",7
Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,Ctrl,"['SZA', 'Travis Scott']",0.112,0.795,0.594,0.0,0.162,-6.2,0.0748,135.002,0.409,"['slap house', 'rap', 'r&b', 'pop']",7
Raindrops (Insane) [with Travis Scott],1pacwLXyRO47ka0v6LTIiY,HEROES & VILLAINS,"['Metro Boomin', 'Travis Scott']",0.0972,0.804,0.539,0.0,0.347,-5.949,0.0391,111.975,0.12,"['rap', 'slap house']",7
THANK GOD,1PH2MDbcBAU094DlgTIND1,UTOPIA,['Travis Scott'],0.254,0.657,0.553,0.0,0.129,-7.08,0.0394,134.925,0.576,"['rap', 'slap house']",7
F.N,0RLLvYBopDwooCyvnTwgYu,True 2 Myself,['Lil Tjay'],0.354,0.567,0.515,0.0,0.078,-10.265,0.247,120.1,0.321,"['nyc rap', 'melodic rap', 'brooklyn drill', 'rap']",7
